Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Tylianakis, J.M., Morris, R.J.","8514120500;7404060155;","Ecological Networks Across Environmental Gradients",2017,"Annual Review of Ecology, Evolution, and Systematics","48",,,"25","48",,184,"10.1146/annurev-ecolsys-110316-022821","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033234055&doi=10.1146%2fannurev-ecolsys-110316-022821&partnerID=40&md5=dcbd962c2d4b33eb6e6d3bd1e2ab0cb2",Article,"Final","",Scopus,2-s2.0-85033234055
"Majhi, S., Perc, M., Ghosh, D.","57144015200;6505878570;56225913500;","Chimera states in a multilayer network of coupled and uncoupled neurons",2017,"Chaos","27","7","073109","","",,164,"10.1063/1.4993836","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025152124&doi=10.1063%2f1.4993836&partnerID=40&md5=099af1d0063082616f9667ac35b165b6",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85025152124
"Zenke, F., Ganguli, S.","23991970400;8422780800;","SuperSpike: Supervised learning in multilayer spiking neural networks",2018,"Neural Computation","30","6",,"1514","1541",,131,"10.1162/neco_a_01086","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047469212&doi=10.1162%2fneco_a_01086&partnerID=40&md5=10fcd99482c2b95bd4c2f1ce53d2c12b",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85047469212
"Zhao, H., Liu, H., Hu, W., Yan, X.","55513434800;57192573158;57202500248;57207233779;","Anomaly detection and fault analysis of wind turbine components based on deep learning network",2018,"Renewable Energy","127",,,"825","834",,116,"10.1016/j.renene.2018.05.024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048539504&doi=10.1016%2fj.renene.2018.05.024&partnerID=40&md5=645bc92238773b0371c6c0d1e1a67cd0",Article,"Final","",Scopus,2-s2.0-85048539504
"Sporns, O.","7004710859;","Graph theory methods: Applications in brain networks",2018,"Dialogues in Clinical Neuroscience","20","2",,"111","120",,112,"10.31887/DCNS.2018.20.2/OSPORNS","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060649191&doi=10.31887%2fDCNS.2018.20.2%2fOSPORNS&partnerID=40&md5=7fca5896b4685328c32f63229203d6cd",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85060649191
"Xia, C., Li, X., Wang, Z., Perc, M.","16205447200;57203418700;57192377511;6505878570;","Doubly effects of information sharing on interdependent network reciprocity",2018,"New Journal of Physics","20","7","075005","","",,84,"10.1088/1367-2630/aad140","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051625446&doi=10.1088%2f1367-2630%2faad140&partnerID=40&md5=32e98dfb2d6a98e796110faa05077bbf",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85051625446
"Morales, F., Ruiz, M., Gifre, L., Contreras, L.M., López, V., Velasco, L.","57188755321;57210277568;55876737900;55819446800;8682312900;16551353200;","Virtual network topology adaptability based on data analytics for traffic prediction",2017,"Journal of Optical Communications and Networking","9","1","A35","","",,84,"10.1364/JOCN.9.000A35","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991018132&doi=10.1364%2fJOCN.9.000A35&partnerID=40&md5=fd6b182f7607e46e11005d1c47742ad6",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84991018132
"De Bacco, C., Power, E.A., Larremore, D.B., Moore, C.","56156609900;55809354300;36925731100;35610564000;","Community detection, link prediction, and layer interdependence in multilayer networks",2017,"Physical Review E","95","4","042317","","",,82,"10.1103/PhysRevE.95.042317","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018611861&doi=10.1103%2fPhysRevE.95.042317&partnerID=40&md5=fe90e4443ece2d46bf8bd2dfbdc3fb62",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85018611861
"Mei, G., Wu, X., Wang, Y., Hu, M., Lu, J.-A., Chen, G.","57127691300;14064177100;53165130600;57193320626;25958170200;36012928800;","Compressive-Sensing-Based Structure Identification for Multilayer Networks",2018,"IEEE Transactions on Cybernetics","48","2","7850964","754","764",,80,"10.1109/TCYB.2017.2655511","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013020875&doi=10.1109%2fTCYB.2017.2655511&partnerID=40&md5=f23ddca06a609c18eaeecbf15fcf2908",Article,"Final","",Scopus,2-s2.0-85013020875
"Marcucci, E., Le Pira, M., Gatta, V., Inturri, G., Ignaccolo, M., Pluchino, A.","6602255083;56780165600;35109007100;14054058500;57194223129;6602888162;","Simulating participatory urban freight transport policy-making: Accounting for heterogeneous stakeholders’ preferences and interaction effects",2017,"Transportation Research Part E: Logistics and Transportation Review","103",,,"69","86",,80,"10.1016/j.tre.2017.04.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018795043&doi=10.1016%2fj.tre.2017.04.006&partnerID=40&md5=fdb6cb59926d3f7ee6a670bdd72facc6",Article,"Final","",Scopus,2-s2.0-85018795043
"Battiston, F., Perc, M., Latora, V.","56122454100;6505878570;7003540219;","Determinants of public cooperation in multiplex networks",2017,"New Journal of Physics","19","7","073017","","",,77,"10.1088/1367-2630/aa6ea1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026741110&doi=10.1088%2f1367-2630%2faa6ea1&partnerID=40&md5=57a8e1628eb82149171f69410811d550",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85026741110
"Nicosia, V., Skardal, P.S., Arenas, A., Latora, V.","14054540300;51462088200;7006307933;7003540219;","Collective Phenomena Emerging from the Interactions between Dynamical Processes in Multiplex Networks",2017,"Physical Review Letters","118","13","138302","","",,75,"10.1103/PhysRevLett.118.138302","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016828943&doi=10.1103%2fPhysRevLett.118.138302&partnerID=40&md5=3ceb89e9dbd8aa2429dc585f09d429f8",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85016828943
"Taylor, D., Myers, S.A., Clauset, A., Porter, M.A., Mucha, P.J.","24722343100;54881722800;8298347800;7201468248;7004946624;","Eigenvector-based centrality measures for temporal networks",2017,"Multiscale Modeling and Simulation","15","1",,"537","574",,73,"10.1137/16M1066142","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017001195&doi=10.1137%2f16M1066142&partnerID=40&md5=d45755932a4dcaab752ff04337245730",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85017001195
"He, W., Chen, G., Han, Q.-L., Du, W., Cao, J., Qian, F.","16232981600;36012928800;7202485252;7202953420;7403354075;53663472900;","Multiagent systems on multilayer networks: Synchronization analysis and network design",2017,"IEEE Transactions on Systems, Man, and Cybernetics: Systems","47","7","7869422","1655","1667",,71,"10.1109/TSMC.2017.2659759","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021675410&doi=10.1109%2fTSMC.2017.2659759&partnerID=40&md5=0d6a06976dd9dd27b4f00e2dbdae34a8",Article,"Final","",Scopus,2-s2.0-85021675410
"Vela, A.P., Ruiz, M., Fresi, F., Sambo, N., Cugini, F., Meloni, G., Poti, L., Velasco, L., Castoldi, P.","57191034579;57210277568;15053043700;23036860800;14031056700;56870900900;6603958190;16551353200;6604005772;","BER Degradation Detection and Failure Identification in Elastic Optical Networks",2017,"Journal of Lightwave Technology","35","21","8022684","4595","4604",,69,"10.1109/JLT.2017.2747223","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028691523&doi=10.1109%2fJLT.2017.2747223&partnerID=40&md5=ab789c41236a07a40765f7831c27b108",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85028691523
"de Arruda, G.F., Cozzo, E., Peixoto, T.P., Rodrigues, F.A., Moreno, Y.","36666074500;55342113900;6507593856;10140494200;7004893698;","Disease localization in multilayer networks",2017,"Physical Review X","7","1","011014","","",,60,"10.1103/PhysRevX.7.011014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018731348&doi=10.1103%2fPhysRevX.7.011014&partnerID=40&md5=47c21842ba32ba1e1621efa1600f733c",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85018731348
"Yang, L.-X., Yang, X., Tang, Y.Y.","52063906100;35338414300;57001642900;","A Bi-Virus Competing Spreading Model with Generic Infection Rates",2018,"IEEE Transactions on Network Science and Engineering","5","1",,"2","13",,51,"10.1109/TNSE.2017.2734075","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028975899&doi=10.1109%2fTNSE.2017.2734075&partnerID=40&md5=e644fba8dc166034c9f545acef5b820c",Article,"Final","",Scopus,2-s2.0-85028975899
"Pedersen, M., Zalesky, A., Omidvarnia, A., Jackson, G.D.","56681745800;6602717574;24341727800;7402320843;","Multilayer network switching rate predicts brain performance",2018,"Proceedings of the National Academy of Sciences of the United States of America","115","52",,"13376","13381",,50,"10.1073/pnas.1814785115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059211924&doi=10.1073%2fpnas.1814785115&partnerID=40&md5=e228c03cbe89ca2ab617fde596c68c23",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85059211924
"Ma, J., Jiang, Z., Cao, J., Yu, F.","55511070000;57205219425;35773159000;57141396700;","Enhanced adsorption for the removal of antibiotics by carbon nanotubes/graphene oxide/sodium alginate triple-network nanocomposite hydrogels in aqueous solutions",2020,"Chemosphere","242",,"125188","","",,44,"10.1016/j.chemosphere.2019.125188","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074006809&doi=10.1016%2fj.chemosphere.2019.125188&partnerID=40&md5=b36a49c96d3bf6d074ee79445c2cb231",Article,"Final","",Scopus,2-s2.0-85074006809
"Danziger, M.M., Bonamassa, I., Boccaletti, S., Havlin, S.","56038392800;57191889324;7006291912;35397372900;","Dynamic interdependence and competition in multilayer networks",2019,"Nature Physics","15","2",,"178","185",,42,"10.1038/s41567-018-0343-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057344115&doi=10.1038%2fs41567-018-0343-1&partnerID=40&md5=78d8f584297c22db30dfa141797706a2",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85057344115
"Sawicki, J., Omelchenko, I., Zakharova, A., Schöll, E.","57193667181;57200584052;16204716100;7005391660;","Delay controls chimera relay synchronization in multiplex networks",2018,"Physical Review E","98","6","062224","","",,40,"10.1103/PhysRevE.98.062224","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059390348&doi=10.1103%2fPhysRevE.98.062224&partnerID=40&md5=4285481f4e4412ba552ef7c8f5ca0f0a",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85059390348
"Tagarelli, A., Amelio, A., Gullo, F.","7004259889;37120005500;22034355400;","Ensemble-based community detection in multilayer networks",2017,"Data Mining and Knowledge Discovery","31","5",,"1506","1543",,40,"10.1007/s10618-017-0528-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025161234&doi=10.1007%2fs10618-017-0528-8&partnerID=40&md5=8e81b116c5c67a72a18a0c542e143664",Article,"Final","",Scopus,2-s2.0-85025161234
"Gao, Z.-K., Zhang, S.-S., Dang, W.-D., Li, S., Cai, Q.","24921442300;36761650900;57102963900;55656651000;56816256100;","Multilayer Network from Multivariate Time Series for Characterizing Nonlinear Flow Behavior",2017,"International Journal of Bifurcation and Chaos","27","4","1750059","","",,40,"10.1142/S0218127417500596","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019153241&doi=10.1142%2fS0218127417500596&partnerID=40&md5=6d5d3ea635f0a876b869fb11f06b8f44",Article,"Final","",Scopus,2-s2.0-85019153241
"Taherkhani, A., Belatreche, A., Li, Y., Maguire, L.P.","24823233900;15043716600;55719077900;7006038431;","A Supervised Learning Algorithm for Learning Precise Timing of Multiple Spikes in Multilayer Spiking Neural Networks",2018,"IEEE Transactions on Neural Networks and Learning Systems","29","11","8305661","5394","5407",,39,"10.1109/TNNLS.2018.2797801","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042864813&doi=10.1109%2fTNNLS.2018.2797801&partnerID=40&md5=7aff652b78906a38189de1f69148c309",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85042864813
"Yu, L., Yao, S., Gao, L., Zha, Y.","55686829400;57208255335;7401800666;35896276900;","Conserved disease modules extracted from multilayer heterogeneous disease and gene networks for understanding disease mechanisms and predicting disease treatments",2019,"Frontiers in Genetics","10","JAN","745","","",,38,"10.3389/fgene.2018.00745","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064276185&doi=10.3389%2ffgene.2018.00745&partnerID=40&md5=4f6e1a0caaaeee39d7b6687166e1a4dc",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85064276185
"Casellas, R., Martínez, R., Vilalta, R., Muñoz, R.","24342919100;55926814100;6701800953;14032184500;","Control, Management, and Orchestration of Optical Networks: Evolution, Trends, and Challenges",2018,"Journal of Lightwave Technology","36","7",,"1390","1402",,38,"10.1109/JLT.2018.2793464","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041229395&doi=10.1109%2fJLT.2018.2793464&partnerID=40&md5=ef643d2673a0bb30415abfa20f57a691",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85041229395
"O'Neal, J.T., Dai, E.Y., Zhang, Y., Clark, K.B., Wilcox, K.G., George, I.M., Ramasamy, N.E., Enriquez, D., Batys, P., Sammalkorpi, M., Lutkenhaus, J.L.","55910011800;57191281095;56845411800;57200383977;57200378221;57200379493;57200385742;57200378165;55519937200;22941932700;9943021200;","QCM-D Investigation of Swelling Behavior of Layer-by-Layer Thin Films upon Exposure to Monovalent Ions",2018,"Langmuir","34","3",,"999","1009",,38,"10.1021/acs.langmuir.7b02836","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041043320&doi=10.1021%2facs.langmuir.7b02836&partnerID=40&md5=6d8a67f9dd893e21d491c936cad9db20",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85041043320
"Yang, Y., Wu, Q.M.J., Wang, Y.","56379191400;55613291700;55989014900;","Autoencoder with Invertible Functions for Dimension Reduction and Image Reconstruction",2018,"IEEE Transactions on Systems, Man, and Cybernetics: Systems","48","7",,"1065","1079",,37,"10.1109/TSMC.2016.2637279","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048664983&doi=10.1109%2fTSMC.2016.2637279&partnerID=40&md5=e937f2885e9095c8d5e85c66b51b27eb",Article,"Final","",Scopus,2-s2.0-85048664983
"Gifre, L., Izquierdo-Zaragoza, J.-L., Ruiz, M., Velasco, L.","55876737900;49061054100;57210277568;16551353200;","Autonomic disaggregated multilayer networking",2018,"Journal of Optical Communications and Networking","10","5",,"482","492",,37,"10.1364/JOCN.10.000482","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047193265&doi=10.1364%2fJOCN.10.000482&partnerID=40&md5=93c5d480db4c4cfef9c8723c439c56e7",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85047193265
"Tohalino, J.V., Amancio, D.R.","57201694854;24376438800;","Extractive multi-document summarization using multilayer networks",2018,"Physica A: Statistical Mechanics and its Applications","503",,,"526","539",,36,"10.1016/j.physa.2018.03.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045795724&doi=10.1016%2fj.physa.2018.03.013&partnerID=40&md5=02159bed9fd2af340364fcecf86d389a",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85045795724
"Lu, J., Xuan, J., Zhang, G., Luo, X.","7601559842;54883441500;7405270696;23479777500;","Structural property-aware multilayer network embedding for latent factor analysis",2018,"Pattern Recognition","76",,,"228","241",,36,"10.1016/j.patcog.2017.11.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040311672&doi=10.1016%2fj.patcog.2017.11.004&partnerID=40&md5=7ecd2ec258dedab4df59ee53b9c3d3a2",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85040311672
"Chen, Z., Lu, J., Feng, J., Zhou, J.","57189632815;14065346100;13607356400;56939394300;","Nonlinear Discrete Hashing",2017,"IEEE Transactions on Multimedia","19","1","7637026","123","135",,36,"10.1109/TMM.2016.2620604","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007415342&doi=10.1109%2fTMM.2016.2620604&partnerID=40&md5=168352c6cc76f92051236c3fc6e72483",Article,"Final","",Scopus,2-s2.0-85007415342
"Interdonato, R., Atzmueller, M., Gaito, S., Kanawati, R., Largeron, C., Sala, A.","55926436900;10240403500;9636090900;6603491140;22333939100;21743521100;","Feature-rich networks: Going beyond complex network topologies",2019,"Applied Network Science","4","1","4","1","13",,35,"10.1007/s41109-019-0111-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066022024&doi=10.1007%2fs41109-019-0111-x&partnerID=40&md5=a97b999c5f80548311feaa87a1819319",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85066022024
"Rybalova, E.V., Vadivasova, T.E., Strelkova, G.I., Anishchenko, V.S., Zakharova, A.S.","57189659228;6701738949;6603074246;7005745068;16204716100;","Forced synchronization of a multilayer heterogeneous network of chaotic maps in the chimera state mode",2019,"Chaos","29","3","033134","","",,33,"10.1063/1.5090184","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064014575&doi=10.1063%2f1.5090184&partnerID=40&md5=efbd5f88cfbfbc741eea09f5fa5678ed",Article,"Final","",Scopus,2-s2.0-85064014575
"Liu, R.-R., Eisenberg, D.A., Seager, T.P., Lai, Y.-C.","27169872200;55857901000;6602645410;7401512359;","The ""weak"" interdependence of infrastructure systems produces mixed percolation transitions in multilayer networks",2018,"Scientific Reports","8","1","2111","","",,33,"10.1038/s41598-018-20019-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041634313&doi=10.1038%2fs41598-018-20019-7&partnerID=40&md5=334be87652bdd520f5e8a2b3d96dc92a",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85041634313
"Bindu, P.V., Thilagam, P.S., Ahuja, D.","57189091078;55666234500;57193928502;","Discovering suspicious behavior in multilayer social networks",2017,"Computers in Human Behavior","73",,,"568","582",,33,"10.1016/j.chb.2017.04.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017562853&doi=10.1016%2fj.chb.2017.04.001&partnerID=40&md5=54fdd43ccc09fa9676fcd72fc2f10031",Article,"Final","",Scopus,2-s2.0-85017562853
"Genrich, C.M., Mello, M.A.R., Silveira, F.A.O., Bronstein, J.L., Paglia, A.P.","57191723190;16070578000;57217318524;7103191823;9537079500;","Duality of interaction outcomes in a plant–frugivore multilayer network",2017,"Oikos","126","3",,"361","368",,33,"10.1111/oik.03825","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992671922&doi=10.1111%2foik.03825&partnerID=40&md5=f67519adf45b6035f63274488ac6b1a9",Article,"Final","",Scopus,2-s2.0-84992671922
"Massaro, M., Colletti, C.G., Buscemi, G., Cataldo, S., Guernelli, S., Lazzara, G., Liotta, L.F., Parisi, F., Pettignano, A., Riela, S.","55921528100;56392815000;23468658900;30367588900;6602400846;6602777267;7201521432;53880421700;8052176400;6603156095;","Palladium nanoparticles immobilized on halloysite nanotubes covered by a multilayer network for catalytic applications",2018,"New Journal of Chemistry","42","16",,"13938","13947",,32,"10.1039/c8nj02932f","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051535702&doi=10.1039%2fc8nj02932f&partnerID=40&md5=814da3bdcdc6ae397479150724e2b911",Article,"Final","",Scopus,2-s2.0-85051535702
"Moni, M.A., Lio, P.","35119094400;7004223170;","Genetic Profiling and Comorbidities of Zika Infection",2017,"Journal of Infectious Diseases","216","6",,"703","712",,32,"10.1093/infdis/jix327","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030609879&doi=10.1093%2finfdis%2fjix327&partnerID=40&md5=c66d98a4aee588644b8e085b3cf4dca7",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85030609879
"Cella, F., Wroblewska, L., Weiss, R., Siciliano, V.","57204323491;17436463200;57209788213;36982397800;","Engineering protein-protein devices for multilayered regulation of mRNA translation using orthogonal proteases in mammalian cells",2018,"Nature Communications","9","1","4392","","",,31,"10.1038/s41467-018-06825-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055209444&doi=10.1038%2fs41467-018-06825-7&partnerID=40&md5=866a4a348120d398efaad60de63de5e9",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85055209444
"Xiong, X., Li, Y., Qiao, S., Han, N., Wu, Y., Peng, J., Li, B.","55343989000;57195503609;16205409900;56300116600;56196702600;57204082720;56120048900;","An emotional contagion model for heterogeneous social media with multiple behaviors",2018,"Physica A: Statistical Mechanics and its Applications","490",,,"185","202",,31,"10.1016/j.physa.2017.08.025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028518070&doi=10.1016%2fj.physa.2017.08.025&partnerID=40&md5=370c1e461cde7dfd421afc2d030b9ed9",Article,"Final","",Scopus,2-s2.0-85028518070
"Vörös, A., Snijders, T.A.B.","57195637860;16033795100;","Cluster analysis of multiplex networks: Defining composite network measures",2017,"Social Networks","49",,,"93","112",,31,"10.1016/j.socnet.2017.01.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009348359&doi=10.1016%2fj.socnet.2017.01.002&partnerID=40&md5=bdb8b0ddad8f59bc1d00ae332f036596",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85009348359
"Timóteo, S., Correia, M., Rodríguez-Echeverría, S., Freitas, H., Heleno, R.","35604980600;55787326200;15051082700;6603978881;26326324000;","Multilayer networks reveal the spatial structure of seed-dispersal interactions across the Great Rift landscapes",2018,"Nature Communications","9","1","140","","",,30,"10.1038/s41467-017-02658-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040533057&doi=10.1038%2fs41467-017-02658-y&partnerID=40&md5=d9066b3fd3ca6127b9230e3cd9316027",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85040533057
"Tejedor, A., Longjas, A., Foufoula-Georgiou, E., Georgiou, T.T., Moreno, Y.","25625316200;25926634400;7006621313;7005895774;7004893698;","Diffusion Dynamics and Optimal Coupling in Multiplex Networks with Directed Layers",2018,"Physical Review X","8","3","031071","","",,30,"10.1103/PhysRevX.8.031071","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054096694&doi=10.1103%2fPhysRevX.8.031071&partnerID=40&md5=7195610db7dce555c3db203b615d6dc4",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85054096694
"Yan, S., Aguado, A., Ou, Y., Wang, R., Nejabati, R., Simeonidou, D.","56926913200;56114990600;56023932300;57208096192;8723651100;12784155200;","Multilayer network analytics with SDN-based monitoring framework",2017,"Journal of Optical Communications and Networking","9","2","7858132","A271","A279",,30,"10.1364/JOCN.9.00A271","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013436200&doi=10.1364%2fJOCN.9.00A271&partnerID=40&md5=6e750e0b7ea696349f4487736ead3a7f",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85013436200
"Li, X., Tang, J., Zhang, Q., Gao, B., Yang, J.J., Song, S., Wu, W., Zhang, W., Yao, P., Deng, N., Deng, L., Xie, Y., Qian, H., Wu, H.","55967619400;35789210900;57194219666;55707310000;10046237000;55359541100;56376325600;54797223700;57190174635;7006830264;56707986600;37036612200;57207182359;55649971900;","Power-efficient neural network with artificial dendrites",2020,"Nature Nanotechnology","15","9",,"776","782",,29,"10.1038/s41565-020-0722-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087035134&doi=10.1038%2fs41565-020-0722-5&partnerID=40&md5=10ea82c6fabb82f58518f7c073c555b3",Article,"Final","",Scopus,2-s2.0-85087035134
"Hu, B., Xu, C., Aslam, M.K., Cen, Y., Hu, J., Li, Y., Liu, Y., Guo, C., Yu, D., Chen, C.","57211712725;57203353664;57193064233;57203353848;57210828035;56950812200;34872913800;55210987800;7404666421;7501951180;","La-doped V2O5·nH2O@OAB and flexible Fe2O3@rGO as binder-free thin film electrodes for asymmetric supercapacitors",2020,"Chemical Engineering Journal","389",,"123534","","",,29,"10.1016/j.cej.2019.123534","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076231396&doi=10.1016%2fj.cej.2019.123534&partnerID=40&md5=dabe0e97270cb7a4c26a533a381ec204",Article,"Final","",Scopus,2-s2.0-85076231396
"Ding, R., Ujang, N., Hamid, H.B., Manan, M.S.A., Li, R., Albadareen, S.S.M., Nochian, A., Wu, J.","56982456600;23567247000;36133244700;57193580379;57191847304;57208594937;57188983739;56424134200;","Application of Complex Networks Theory in Urban Traffic Network Researches",2019,"Networks and Spatial Economics","19","4",,"1281","1317",,29,"10.1007/s11067-019-09466-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065241341&doi=10.1007%2fs11067-019-09466-5&partnerID=40&md5=c79eb2781390e7d449769f1a5f21cf33",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85065241341
"Tiwari, A.P., Chae, S.-H., Ojha, G.P., Dahal, B., Mukhiya, T., Lee, M., Chhetri, K., Kim, T., Kim, H.-Y.","57207339125;56266591900;57193279311;57205296947;57205303176;57206239855;57206244910;57013727600;34876896800;","Three-dimensional porous carbonaceous network with in-situ entrapped metallic cobalt for supercapacitor application",2019,"Journal of Colloid and Interface Science","553",,,"622","630",,29,"10.1016/j.jcis.2019.06.070","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067597969&doi=10.1016%2fj.jcis.2019.06.070&partnerID=40&md5=90c989d21c4fa1d24d047f61e7ccae6f",Article,"Final","",Scopus,2-s2.0-85067597969
"Griffa, A., Ricaud, B., Benzi, K., Bresson, X., Daducci, A., Vandergheynst, P., Thiran, J.-P., Hagmann, P.","36935708000;14024686000;57189593335;6506291911;26430368900;7004114381;35554798200;9734075200;","Transient networks of spatio-temporal connectivity map communication pathways in brain functional systems",2017,"NeuroImage","155",,,"490","502",,29,"10.1016/j.neuroimage.2017.04.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018323050&doi=10.1016%2fj.neuroimage.2017.04.015&partnerID=40&md5=e68f9def675243b85c6c8279eb5a5b15",Article,"Final","",Scopus,2-s2.0-85018323050
"Rojek, I.","24481999900;","Technological process planning by the use of neural networks",2017,"Artificial Intelligence for Engineering Design, Analysis and Manufacturing: AIEDAM","31","1",,"1","15",,29,"10.1017/S0890060416000147","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984706665&doi=10.1017%2fS0890060416000147&partnerID=40&md5=be3a2a359d1e149b9e5aa4503d624276",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-84984706665
"Wu, M., He, S., Zhang, Y., Chen, J., Sun, Y., Liu, Y.-Y., Zhang, J., Poor, H.V.","57210452649;55837432600;57208001750;55902702200;7406426134;52563770900;36105605300;55665272100;","A tensor-based framework for studying eigenvector multicentrality in multilayer networks",2019,"Proceedings of the National Academy of Sciences of the United States of America","116","31",,"15407","15413",,28,"10.1073/pnas.1801378116","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070786724&doi=10.1073%2fpnas.1801378116&partnerID=40&md5=3bad314fa105ecd7c47d201c0b1a3a82",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85070786724
"Frolov, N.S., Maksimenko, V.A., Khramova, M.V., Pisarchik, A.N., Hramov, A.E.","16498801300;56572360300;56572729200;7005864666;6603156741;","Dynamics of functional connectivity in multilayer cortical brain network during sensory information processing",2019,"European Physical Journal: Special Topics","228","11",,"2381","2389",,27,"10.1140/epjst/e2019-900077-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074096256&doi=10.1140%2fepjst%2fe2019-900077-7&partnerID=40&md5=97d746f4b6ff0966fede49d966c27697",Article,"Final","",Scopus,2-s2.0-85074096256
